uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,4
AC,OUTRAS,DOMICILIO,"< 9",M,7
AC,OUTRAS,HOSPITAL,"< 9",F,19
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,27
AC,OUTRAS,OUTRO,"< 9",F,2
AC,OUTRAS,VIA_PUBLICA,"< 9",F,1
AC,COVID,HOSPITAL,"< 9",M,1
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
AC,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AC,PNEUMONIA,DOMICILIO,"< 9",M,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,6
AC,PNEUMONIA,HOSPITAL,"< 9",M,6
AC,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,10
AC,SEPTICEMIA,HOSPITAL,"< 9",I,1
AC,SEPTICEMIA,HOSPITAL,"< 9",M,14
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,SRAG,HOSPITAL,"< 9",F,1
AL,OUTRAS,DOMICILIO,"< 9",F,5
AL,OUTRAS,DOMICILIO,"< 9",M,4
AL,OUTRAS,HOSPITAL,"< 9",F,89
AL,OUTRAS,HOSPITAL,"< 9",I,1
AL,OUTRAS,HOSPITAL,"< 9",M,112
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,9
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,DOMICILIO,"< 9",M,1
AL,PNEUMONIA,HOSPITAL,"< 9",F,7
AL,PNEUMONIA,HOSPITAL,"< 9",M,12
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,31
AL,SEPTICEMIA,HOSPITAL,"< 9",M,62
AL,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,SRAG,HOSPITAL,"< 9",M,1
AM,OUTRAS,DOMICILIO,"< 9",F,8
AM,OUTRAS,DOMICILIO,"< 9",M,10
AM,OUTRAS,HOSPITAL,"< 9",F,126
AM,OUTRAS,HOSPITAL,"< 9",I,4
AM,OUTRAS,HOSPITAL,"< 9",M,116
AM,OUTRAS,IGNORADO,"< 9",M,3
AM,OUTRAS,OUTRO,"< 9",F,5
AM,OUTRAS,OUTRO,"< 9",M,7
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,COVID,HOSPITAL,"< 9",F,2
AM,COVID,HOSPITAL,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,27
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,2
AM,PNEUMONIA,DOMICILIO,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,17
AM,PNEUMONIA,HOSPITAL,"< 9",M,12
AM,PNEUMONIA,OUTRO,"< 9",M,2
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,52
AM,SEPTICEMIA,HOSPITAL,"< 9",M,60
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,2
AM,SRAG,HOSPITAL,"< 9",F,3
AM,SRAG,HOSPITAL,"< 9",M,2
AP,OUTRAS,DOMICILIO,"< 9",F,1
AP,OUTRAS,HOSPITAL,"< 9",F,10
AP,OUTRAS,HOSPITAL,"< 9",M,9
